Timestamp,Participant_ID,Gender,Nationality,Age,Food,Juice,Dessert
2019/05/07 2:59:45 PM GMT+8,FPS002,femenino,Indian,22.0,Western food,Carbonated drinks,Yes
2019/05/07 3:00:05 PM GMT+8,FPS003,masculino,Indian,31.0,Western food,Fresh Juice,Maybe
2019/05/07 3:00:11 PM GMT+8,FPS004,femenino,Indian,25.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:03:34 PM GMT+8,FPS006,masculino,Indian,24.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:03:48 PM GMT+8,FPS007,femenino,Indian,34.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:04:37 PM GMT+8,FPS008,masculino,Pakistani,24.0,Western food,Carbonated drinks,Yes
2019/05/07 3:05:39 PM GMT+8,FPS009,femenino,Indian,19.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:06:53 PM GMT+8,FPS010,femenino,Indian,16.0,Western food,Fresh Juice,Yes
2019/05/07 3:07:26 PM GMT+8,FPS011,masculino,Tanzanian,23.0,Traditional food,Fresh Juice,No
2019/05/07 3:07:36 PM GMT+8,FPS012,femenino,Indian,22.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:07:36 PM GMT+8,FPS013,femenino,Indonesian,22.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:09:47 PM GMT+8,FPS016,masculino,Pakistani,25.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:10:37 PM GMT+8,FPS017,masculino,Maldivian,26.0,Traditional food,Fresh Juice,No
2019/05/07 3:12:29 PM GMT+8,FPS018,masculino,Malaysian,22.0,Traditional food,Fresh Juice,No
2019/05/07 3:13:11 PM GMT+8,FPS019,femenino,Malaysian,38.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:21:27 PM GMT+8,FPS023,masculino,Malaysian,20.0,Western food,Fresh Juice,Maybe
2019/05/07 3:21:40 PM GMT+8,FPS024,masculino,Malaysian,22.0,Western food,Fresh Juice,Yes
2019/05/07 3:22:09 PM GMT+8,FPS025,masculino,Malaysian,20.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:24:47 PM GMT+8,FPS026,femenino,Indonesian,24.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:29:38 PM GMT+8,FPS027,masculino,Indian,43.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:31:17 PM GMT+8,FPS028,femenino,Maldivian,29.0,Western food,Fresh Juice,Yes
2019/05/07 3:33:04 PM GMT+8,FPS029,masculino,Indian,39.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:33:40 PM GMT+8,FPS030,masculino,Indian,26.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:42:00 PM GMT+8,FPS031,masculino,Malaysian,21.0,Traditional food,Carbonated drinks,Maybe
2019/05/07 3:42:05 PM GMT+8,FPS032,femenino,Malaysian,40.0,Western food,Fresh Juice,Yes
2019/05/07 3:46:10 PM GMT+8,FPS033,masculino,Indian,13.0,Western food,Fresh Juice,Maybe
2019/05/07 3:46:28 PM GMT+8,FPS034,masculino,Indian,13.0,Western food,Fresh Juice,Maybe
2019/05/07 3:46:56 PM GMT+8,FPS035,masculino,Indian,13.0,Western food,Fresh Juice,Maybe
2019/05/07 3:47:18 PM GMT+8,FPS036,masculino,Malaysian,24.0,Western food,Fresh Juice,Yes
2019/05/07 3:47:44 PM GMT+8,FPS037,masculino,Indian,13.0,Western food,Fresh Juice,Maybe
2019/05/07 3:48:18 PM GMT+8,FPS038,masculino,Indian,24.0,Traditional food,Fresh Juice,Yes
2019/05/07 3:48:35 PM GMT+8,FPS039,masculino,Malaysian,21.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:49:18 PM GMT+8,FPS040,femenino,Indian,34.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:57:01 PM GMT+8,FPS041,femenino,Pakistani,18.0,Traditional food,Fresh Juice,Maybe
2019/05/07 3:59:01 PM GMT+8,FPS043,masculino,Canadian,24.0,Western food,Fresh Juice,Yes
2019/05/07 3:59:37 PM GMT+8,FPS044,masculino,Pakistani,60.0,Traditional food,Carbonated drinks,Yes
2019/05/07 4:00:28 PM GMT+8,FPS045,masculino,Malaysian,21.0,Western food,Carbonated drinks,Yes
2019/05/07 4:00:47 PM GMT+8,FPS046,femenino,Nigerian,21.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:01:42 PM GMT+8,FPS047,masculino,Pakistani,24.0,Western food,Fresh Juice,Yes
2019/05/07 4:01:44 PM GMT+8,FPS048,masculino,Indian,25.0,Western food,Fresh Juice,Yes
2019/05/07 4:02:29 PM GMT+8,FPS049,masculino,Indian,23.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:03:06 PM GMT+8,FPS050,femenino,Algerian,25.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:03:45 PM GMT+8,FPS051,femenino,Indian,22.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:04:58 PM GMT+8,FPS052,masculino,Korean,27.0,Western food,Fresh Juice,No
2019/05/07 4:05:29 PM GMT+8,FPS053,masculino,Indian,26.0,Traditional food,Fresh Juice,No
2019/05/07 4:05:34 PM GMT+8,FPS054,femenino,Indian,30.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:09:53 PM GMT+8,FPS055,femenino,Indian,25.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:10:02 PM GMT+8,FPS056,masculino,Indian,23.0,Western food,Carbonated drinks,Yes
2019/05/07 4:10:56 PM GMT+8,FPS057,femenino,Indian,25.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:11:01 PM GMT+8,FPS058,masculino,Indian,21.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:11:51 PM GMT+8,FPS060,masculino,Indian,21.0,Western food,Carbonated drinks,Maybe
2019/05/07 4:12:12 PM GMT+8,FPS061,femenino,Indian,25.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:14:01 PM GMT+8,FPS062,femenino,Indian,30.0,Western food,Fresh Juice,Maybe
2019/05/07 4:14:02 PM GMT+8,FPS063,femenino,Indian,54.0,Traditional food,Carbonated drinks,Yes
2019/05/07 4:14:48 PM GMT+8,FPS064,masculino,Seychellois,23.0,Traditional food,Carbonated drinks,Maybe
2019/05/07 4:15:12 PM GMT+8,FPS065,masculino,Indian,27.0,Traditional food,Carbonated drinks,Maybe
2019/05/07 4:15:14 PM GMT+8,FPS066,masculino,Indian,74.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:15:35 PM GMT+8,FPS067,femenino,Indian,27.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:16:34 PM GMT+8,FPS068,masculino,Indonesian,19.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:16:36 PM GMT+8,FPS069,masculino,Indonesian,19.0,Western food,Carbonated drinks,Yes
2019/05/07 4:17:15 PM GMT+8,FPS070,femenino,Indian,80.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:17:44 PM GMT+8,FPS071,femenino,Indian,25.0,Traditional food,Fresh Juice,No
2019/05/07 4:17:56 PM GMT+8,FPS072,masculino,Indian,34.0,Traditional food,Fresh Juice,Maybe
2019/05/07 4:18:00 PM GMT+8,FPS073,femenino,Indonesian,19.0,Traditional food,Fresh Juice,Yes
2019/05/07 4:18:31 PM GMT+8,FPS074,femenino,Indian,80.0,Traditional food,Fresh Juice,Yes
